Restaurant Name,City,Area,Cuisine Type,Cost for Two,Ratings
Local,Delhi-Ncr,"Connaught Place (CP), Central Delhi",Multicuisine,1200,4.1
The G T Road,Delhi-Ncr,"Connaught Place (CP), Central Delhi",Multicuisine,2200,4.4
Aqua,Delhi-Ncr,"The Park, New Delhi",Multicuisine,2800,3.9
Zodiac- All Day Dining,Delhi-Ncr,"Fortune Inn Grazia, Noida",Indian,1800,4.0
Nero,Delhi-Ncr,"Le Meridien, New Delhi",Cocktail Menu,3000,3.5
Indus Flavour (Proudly Vegetarian),Delhi-Ncr,"Connaught Place (CP), Central Delhi",Multicuisine,1000,4.4
Royal Bistro Brewery,Delhi-Ncr,"The Royal Plaza, New Delhi",Multicuisine,2500,4.1
Cafe Hawkers,Delhi-Ncr,"Connaught Place (CP), Central Delhi",Multicuisine,1200,3.8
The Darzi Bar & Kitchen,Delhi-Ncr,"Connaught Place (CP), Central Delhi",Multicuisine,1500,3.7
Kikli,Delhi-Ncr,"Connaught Place (CP), Central Delhi",North Indian,2100,3.9
Veda,Delhi-Ncr,"Connaught Place (CP), Central Delhi",North Indian,2000,4.2
Connaught Clubhouse,Delhi-Ncr,"Janpath, Connaught Place (CP), Central Delhi","Cocktail Menu, Multicuisine",1800,4.1
DEL,Delhi-Ncr,"Roseate House, New Delhi",Multicuisine,3000,4.3
The Mandi Chowk,Delhi-Ncr,"Connaught Place (CP), Central Delhi",North Indian,1000,4.9
The Flying Trunk,Delhi-Ncr,"Novotel City Centre, Delhi NCR",Asian,3450,4.0
Level 2,Delhi-Ncr,"Radisson Blu, Paschim Vihar",Indian,3000,4.0
The Host,Delhi-Ncr,"Connaught Place (CP), Central Delhi",Indian,1600,4.1
The Food Store,Delhi-Ncr,"DoubleTree by Hilton, Gurgaon",Multicuisine,3000,4.2
Massala Singh,Delhi-Ncr,"Connaught Place (CP), Central Delhi","Chinese, North Indian",1800,5.0
Grappa,Delhi-Ncr,Shangri-La Eros New Delhi,Finger Food,3000,4.3
Caffé Tonino,Delhi-Ncr,"Connaught Place (CP), Central Delhi",Italian,1000,4.5
Chili's,Delhi-Ncr,"Connaught Place (CP), Central Delhi",Multicuisine,1500,4.3
Cafe NH8,Delhi-Ncr,Radisson Gurugram Udyog Vihar,Italian,1600,4.4
Mount Fuji,Delhi-Ncr,"Connaught Place (CP), Central Delhi",Asian,1500,4.7
The Flavor Factory,Delhi-Ncr,"Connaught Place (CP), Central Delhi",South Indian,800,4.2
Atrium Deli,Delhi-Ncr,"Ramada Gurgaon Central, Gurgaon",Multicuisine,1600,3.9
Cedar Clubhouse,Delhi-Ncr,"Janpath, Central Delhi","Cocktail Menu, Multicuisine",1800,3.6
Belisario,Delhi-Ncr,"Janpath, Central Delhi","European, Asian",3000,4.5
Le Petit Cafe,Delhi-Ncr,"The Lalit, New Delhi","Vegan, Continental",2500,4.0
Cafe Delhi Heights,Delhi-Ncr,"Janpath, Connaught Place (CP), Central Delhi",Multicuisine,1500,4.4
Taste of China,Delhi-Ncr,"Connaught Place (CP), Central Delhi",Chinese,1100,4.2
XO & Mi @ Le Belvedere,Delhi-Ncr,"Le Meridien, New Delhi",Pan Asian,3450,4.4
The Connaught Bar,Delhi-Ncr,"Radisson Blu Marina, New Delhi","Cocktail Menu, Finger Food",1800,4.3
Mustard Madras,Delhi-Ncr,"Cyber Hub, Gurgaon",South Indian,1500,4.5
Kitchen District - Hyatt Regency Gurgaon,Delhi-Ncr,"Hyatt Regency, Gurgaon",Multicuisine,2400,4.2
Liv Bar,Delhi-Ncr,Worldmark 1,"Cocktail Menu, Multicuisine",1400,4.5
Citrus Cafe,Delhi-Ncr,"Sandal Suites, Noida",Multicuisine,1200,4.1
Pure Shudh,Delhi-Ncr,"Karol Bagh, Central Delhi","Chinese, Indian",500,4.0
Themis Barbecue House,Delhi-Ncr,"Ambience Mall, Gurgaon",Multicuisine,1200,3.9
Roma,Delhi-Ncr,"Connaught Place (CP), Central Delhi",Multicuisine,3000,4.0
Coco Café By Cococart,Delhi-Ncr,"DLF Mall of India, Sector 18, Noida",Cafe,800,3.2
Honk,Delhi-Ncr,Pullman New Delhi Aerocity-An AccorHotels Brand,"Pan Asian, Japanese",3450,4.4
Castle's Barbeque,Delhi-Ncr,"Connaught Place (CP), Central Delhi","Multicuisine, Barbeque",2000,3.7
The Dineroom,Delhi-Ncr,"Punjabi Bagh, West Delhi",Multicuisine,1200,4.2
Shift Coffee And Cocktail,Delhi-Ncr,"The Boulevard At Magnum Global Park, Sector 58, Gurgaon","European, Coffee",1200,5.0
Dosa Coffee,Delhi-Ncr,"Connaught Place (CP), Central Delhi","Beverages, South Indian",500,5.0
Sizzling Shack 24 Hrs Bistro & Bar,Delhi-Ncr,"Park Inn by Radisson, Lajpat Nagar 4",Multicuisine,2000,4.2
Social Affaire,Delhi-Ncr,"Karol Bagh, Central Delhi",Multicuisine,1200,3.0
House of Migo,Delhi-Ncr,"Sector 143, Noida","Italian, Multicuisine",2000,4.7
Zambar,Delhi-Ncr,"Ambience Mall, Gurgaon",South Indian,1500,4.5
Cafe Di Milano,Delhi-Ncr,"Sector 13, Dwarka, West Delhi",Multicuisine,700,4.4
