Restaurant Name,City,Area,Cuisine Type,Cost for Two,Ratings
Nook,Bengaluru,"Aloft Bengaluru Outer Ring Road, South Bengaluru",Multicuisine,2000,4.1
Soul Indian Specialty,Bengaluru,"Svenska Design Hotel, Bengaluru",Indian,2000,4.0
Pristine Cafe And Restaurant,Bengaluru,"Jayanagar, South Bengaluru",Multicuisine,250,5.0
Amritsar Haveli,Bengaluru,"Yelahanka, North Bengaluru",Multicuisine,2000,3.9
Cave-n-Dine,Bengaluru,"Basaveshwara Nagar, West Bengaluru",Multicuisine,2000,4.5
ABV- Artisanal Bier Village,Bengaluru,"Whitefield, East Bengaluru",Multicuisine,2500,4.5
Saarai Bar & Kitchen,Bengaluru,"Jayanagar, South Bengaluru","Finger Food, Multicuisine",2000,4.3
Karim's Kalyan Nagar - Original From Jama Masjid Delhi-6,Bengaluru,"Kalyan Nagar, North Bengaluru","Indian, Mughlai",3450,4.7
Story Coffee,Bengaluru,"Kammanahalli, East Bengaluru","Cafe, Fast Food",600,5.0
The Clay Hut,Bengaluru,"Koramangala, South Bengaluru",Bengali,2000,4.0
The Pizza Bakery,Bengaluru,"HSR, South Bengaluru","Pizza, Italian",2500,4.7
Naveen’s Bapu ki Kutiya,Bengaluru,"Varthur Main Road, Whitefield",North Indian,2000,3.8
Kakal Kai Ruchi,Bengaluru,"JP Nagar, South Bengaluru",Multicuisine,2000,3.8
KOKO,Bengaluru,"Jeevan Bhima Nagar, East Bengaluru",Asian,3450,4.5
Gardenwoods - Rooftop Kitchen,Bengaluru,"Kalyan Nagar, North Bengaluru","Chinese, Indian, Barbeque",2000,5.0
One Floor Down (by Helen's),Bengaluru,"Marathahalli, East Bengaluru","Asian, Modern Indian",1500,5.0
Punarvasu Restaurant,Bengaluru,"Hotel Leroy Grand, Yeshwanthpur, Bengaluru",Multicuisine,2500,4.7
Lux Pub & Kitchen,Bengaluru,"Koramangala 7th Block, South Bengaluru",Multicuisine,2000,3.0
Garden by su,Bengaluru,"Jayanagar, South Bengaluru",Multicuisine,2000,4.2
Chavadi Restaurant,Bengaluru,"Bannerghatta Road, South Bengaluru","European, South Indian",2000,4.5
The Estate Deli,Bengaluru,"Indiranagar, East Bengaluru",Multicuisine,800,5.0
RestoBar Therapy,Bengaluru,"Hotel Canton Bar & Kitchen, Subramanyapura",Multicuisine,2000,2.8
Bogineni Cafe,Bengaluru,"Seegehalli, East Bengaluru",Cafe,2000,5.0
MATSYA,Bengaluru,"Attide Biz Hotel, Bengluru",Multicuisine,800,4.0
Citrus,Bengaluru,"The Leela Palace, Bengaluru",Multicuisine,3450,4.5
Matkka - Indian Cuisine & Cocktail Bar,Bengaluru,"Banashankari, South Bengaluru",Malwani,2000,4.0
Geometry Gastropub,Bengaluru,"New BEL Road, North Bengaluru",Multicuisine,2000,3.9
Yuki - Brewhouse and Kitchen,Bengaluru,"Koramangala, South Bengaluru","Pan Asian, Cocktail Menu",2000,4.6
Nepalaya,Bengaluru,"Kalyan Nagar, North Bengaluru",Nepalese,2000,3.9
Ration Room,Bengaluru,"RT Nagar, North Bengaluru",Multicuisine,1200,5.0
Chaiffee Cafe,Bengaluru,"Jeevan Bhima Nagar, East Bengaluru","Fast Food, European",2000,4.0
Isobel Caffeine Bar,Bengaluru,"Jayanagar, South Bengaluru","Bakery, Continental, Coffee",2000,2.8
Pavilion Restaurant,Bengaluru,"Comfort INN Insys, Bengaluru",Multicuisine,2000,3.8
Salut Gastropub,Bengaluru,"Jayanagar, South Bengaluru",Multicuisine,1000,4.2
The Noodle Theory,Bengaluru,"Kundalahalli, Bengaluru",Pan Asian,2000,4.9
Hot Griddle,Bengaluru,"Jayanagar, South Bengaluru",Multicuisine,2000,4.1
Mahanagaram,Bengaluru,"Kalyan Nagar, North Bengaluru",Andhra,800,4.8
Amaar Kashi,Bengaluru,"Electronic City Phase 1, South Bengaluru","North Indian, Chinese",2000,4.8
The Founders Brewery,Bengaluru,"New BEL Road, North Bengaluru","Chinese, North Indian",2000,4.7
Jamming Goat 3.0,Bengaluru,"Indiranagar, East Bengaluru",Multicuisine,2000,3.9
Malgudi Mylari Mane,Bengaluru,"Koramangala, South Bengaluru",Indian,2000,4.7
Peepai Kitchen & Brewery,Bengaluru,"Hebbal, North Bengaluru",Multicuisine,2500,4.3
White Garden,Bengaluru,"Kalyan Nagar, North Bengaluru",Multicuisine,2000,4.5
Fyole Cafe,Bengaluru,"Phoenix Mall Of Asia, Yelahanka, Bengaluru",Bakery,2000,5.0
Orbis Restaurant,Bengaluru,"Whitefield, East Bengaluru",Multicuisine,2000,4.1
Seta,Bengaluru,Hilton Bangalore Embassy GolfLinks,"Mediterranean, Asian",3450,4.7
Yoichi by Shiro,Bengaluru,"Manyata Tech Park, Nagawara",Pan Asian,1500,4.0
Hydra Club & Kitchen,Bengaluru,"Koramangala 5th Block, South Bengaluru",Multicuisine,2000,4.1
Green Beans Coffee,Bengaluru,"Kanakapura Road, South Bengaluru","Coffee and Tea, European",2000,5.0
Flavours of India,Bengaluru,Bhagini Icon Premier Hotel,Multicuisine,2000,3.9
Hermitage,Bengaluru,"Malleshwaram, West Bengaluru",Multicuisine,2000,4.9
Beijing Bites,Bengaluru,"Hosa Road, Bengaluru, South Bengaluru","Chinese, Thai, Pan Asian",450,4.0
"Byg Brewski Brewing Company, Sarjapur",Bengaluru,"Sarjapur Road, South Bengaluru",Multicuisine,2000,4.5
The Lotus Oriental,Bengaluru,"The Leela Bhartiya City, Hotel Convention & Residences, Bengaluru","Pan Asian, Chinese",2500,4.3
Gardenwoods - Rooftop Kitchen,Bengaluru,"Vijay Nagar, West Bengaluru",North Indian,1000,4.0
Tesorio - The Sourdough Pizza Kitchen,Bengaluru,"Sahakara Nagar, North Bengaluru",Italian,2000,4.9
Happy Brew - Bar & Kitchen,Bengaluru,"Koramangala, South Bengaluru","Finger Food, Multicuisine",2500,3.4
Hunaaan,Bengaluru,"Indiranagar, East Bengaluru",Pan Asian,1500,5.0
The Palms Brew & Kitchen,Bengaluru,"JP Nagar, South Bengaluru",Multicuisine,1800,4.6
Anaia Cafe,Bengaluru,"Indiranagar, East Bengaluru","Indian, European",2000,4.6
Tea Villa Cafe,Bengaluru,"Jayanagar, South Bengaluru","Chinese, North Indian",550,4.8
NH7 Refuel,Bengaluru,"Devanahalli, Bengaluru",Multicuisine,2000,4.3
Hanger,Bengaluru,"Vidyaranyapura, Bengaluru, Bengaluru",Multicuisine,1000,4.0
Maize & Malt,Bengaluru,"Krishnarajapuram Hobli, Bengaluru",Multicuisine,2000,4.7
Hyderabad Firewood Biryani,Bengaluru,"Panathur, Bengaluru",Multicuisine,700,4.0
Flyover Drinkery,Bengaluru,"Esteem Mall, Hebbal",Multicuisine,2000,4.4
Lush,Bengaluru,Renaissance Bengaluru Race Course Hotel,Multicuisine,2000,4.4
Secret Story,Bengaluru,"12th main, East Bengaluru",Multicuisine,2000,4.1
Bayroute,Bengaluru,"Phoenix Mall Of Asia, Yelahanka, Bengaluru","Mediterranean, Middle Eastern",2500,4.0
The Persian Terrace,Bengaluru,Sheraton Grand Bangalore at Brigade Gateway,Persian,2500,4.7
Casa Piccosa,Bengaluru,"JP Nagar, South Bengaluru",Multicuisine,2000,3.3
Neer,Bengaluru,Hilton Bengaluru Embassy Manyata Business Park,South Indian,3450,5.0
Shegan Bar & Kitchen,Bengaluru,"Hennur, North Bengaluru",Multicuisine,2000,4.2
The Rasoiya Street,Bengaluru,"Electronic City Phase 1, South Bengaluru",Multicuisine,1100,4.3
Espressoulster Coffee,Bengaluru,"Koramangala, South Bengaluru","Pasta, Sandwiches, Coffee",500,4.0
Whitefield Baking Company,Bengaluru,Bengaluru Marriott Hotel Whitefield,Multicuisine,2000,4.6
Cafe Happy Place,Bengaluru,"R.M.V. 2nd Stage, Central Bengaluru","American, European",1000,5.0
Nirvana Restaurant,Bengaluru,"HSR, South Bengaluru",Multicuisine,600,5.0
The Hub,Bengaluru,Ramada Encore Bangalore Domlur,Multicuisine,2000,4.4
Mithai Mahal Veg Restaurant & Sweets,Bengaluru,"Whitefield, East Bengaluru",Mithai,600,4.2
Yuki - Pan Asian Kitchen and Bar,Bengaluru,"JP Nagar, South Bengaluru",Pan Asian,2000,4.6
Taiki,Bengaluru,"HSR, South Bengaluru","Japanese, Korean, Asian",2000,4.0
Hashtag 88 Resto Bar,Bengaluru,"Marathahalli, East Bengaluru",Multicuisine,2000,4.1
Habba Kadal - Kashmiri Fine Dining Restaurant,Bengaluru,"Whitefield, East Bengaluru",Kashmiri,2000,4.2
The Spice Studio,Bengaluru,"Brookefield, East Bengaluru",Indian,2000,3.8
Secret Scoopss,Bengaluru,"New BEL Road, North Bengaluru",Ice Cream,2000,4.4
Triple Eight Rooftop Bar & Kitchen,Bengaluru,"Bannerghatta Road, South Bengaluru",Multicuisine,1200,5.0
The Peck,Bengaluru,"Koramangala 8th Block, South Bengaluru",European,800,3.0
The Groot,Bengaluru,"Bhartiya Mall, Bengaluru",European,2000,4.1
"Atlantis - Brewpub, Cocktails & Kitchen",Bengaluru,"HSR, South Bengaluru",Multicuisine,2000,4.2
"Byg Brewski Brewing Company, Hennur",Bengaluru,"Hennur, North Bengaluru",Multicuisine,2000,4.4
Rajdhani Mall Of Asia,Bengaluru,"Phoenix Mall Of Asia, Yelahanka, Bengaluru","Gujarati, Rajasthani",2000,4.2
HIC ! – The Lounge Bar,Bengaluru,"Olde Bangalore, Bengaluru","Cocktail Menu, Finger Food",2000,4.0
Mitico Coffee Roasters,Bengaluru,"Koramangala, South Bengaluru",European,2000,4.7
Coco Den Cafe,Bengaluru,"Jayanagar, South Bengaluru","Chinese, Italian",800,4.0
GANNET Rooftop Bar & Kitchen,Bengaluru,"Akshayanagar, South Bengaluru",Multicuisine,900,4.0
One Whiskey Bar,Bengaluru,Radisson Individuals,Multicuisine,2000,4.0
House of Barbecue 2.0,Bengaluru,"Rajajinagar, West Bengaluru",Multicuisine,2000,4.0
Chili’s Grill & Bar,Bengaluru,"Orion Mall, Malleshwaram",Tex-Mex,1700,4.6
The Courtyard,Bengaluru,Featherlite Evoma Hotel & Business Centre,Multicuisine,2000,3.9
Shetty Lunch Home,Bengaluru,"Sadashiv Nagar, North Bengaluru",Multicuisine,2000,4.6
Bekal,Bengaluru,"Jeevan Bhima Nagar, East Bengaluru",Multicuisine,2000,2.0
Lotus,Bengaluru,"Visthara Hotel, Bengaluru",Indian,2000,4.3
Aahwanam,Bengaluru,"RT Nagar, North Bengaluru",Multicuisine,1000,2.0
InAzia,Bengaluru,Sheraton Grand Bengaluru Whitefield Hotel & Convention Center,Pan Asian,2500,4.5
Patiala Dhaba,Bengaluru,"Electronic City Phase 1, South Bengaluru","Chinese, North Indian",400,4.0
Wanderers Craft Brewery,Bengaluru,"Kalyan Nagar, North Bengaluru",Multicuisine,1250,4.0
Falak,Bengaluru,"The Leela Bhartiya City, Hotel Convention & Residences, Bengaluru",North Indian,2500,4.6
Skydeck RR Nagar,Bengaluru,"Rajarajeshwari Nagar, South Bengaluru",Multicuisine,1200,4.3
Mint Masala,Bengaluru,"Sadashiv Nagar, North Bengaluru",Multicuisine,2000,3.8
Hyderabadi Biryani Utsav,Bengaluru,"Old Madras Road, East Bengaluru","Indian, Biryani",2000,4.0
Pizza Stop,Bengaluru,"Vasanth Nagar, Central Bengaluru",Pizza,700,4.0
The Brussels Waffle,Bengaluru,"Koramangala, South Bengaluru",Desserts,400,4.0
Amore Gelato Cafe,Bengaluru,"Jayanagar, South Bengaluru",Ice Cream,300,5.0
Express Cafe & Bar,Bengaluru,Holiday Inn Express Bengaluru Bommasandra,Multicuisine,2000,5.0
Purvanchal Tokri,Bengaluru,"Banaswadi, North Bengaluru",Multicuisine,2000,3.0
Barkaas Arabic Restaurant,Bengaluru,"Whitefield, East Bengaluru",Middle Eastern,2000,4.4
Dal Tadkaa,Bengaluru,"Banashankari, South Bengaluru",Indian,2000,5.0
The Pipe Rack,Bengaluru,"Kalyan Nagar, North Bengaluru",Multicuisine,2000,3.0
Tangerine,Bengaluru,"Davanam Sarovar Portico Suites, Bengaluru",Multicuisine,2000,4.1
Bologna,Bengaluru,"Whitefield, East Bengaluru",Italian,1800,4.7
The Lazy Turtle,Bengaluru,"Koramangala, South Bengaluru",Multicuisine,2000,3.8
Andhra Biryanis,Bengaluru,"Doddanekkundi, Bengaluru",Andhra,2000,3.8
Gufha,Bengaluru,"The President Hotel, Bengaluru",Afghani,2000,4.2
Shinto,Bengaluru,"Indiranagar, East Bengaluru","European, Pan Asian",400,5.0
The Pet People Cafe,Bengaluru,"HSR, South Bengaluru",American,2000,4.6
Sugar Factory Reloaded,Bengaluru,"Koramangala, South Bengaluru","Cocktail Menu, Finger Food",2000,3.1
East,Bengaluru,"The Oterra, Bengaluru",Pan Asian,2000,4.8
Blue Shadow,Bengaluru,"Davanam Sarovar Portico Suites, Bengaluru",Multicuisine,1500,4.0
Hungry Hippie,Bengaluru,"Koramangala, South Bengaluru",Multicuisine,2000,4.1
Nusa - Tropical Brewvilla,Bengaluru,"Gunjur Village, Bengaluru",Multicuisine,2000,4.1
Chicken County,Bengaluru,"Arekere, Bengaluru",Multicuisine,2000,4.8
Food Affair - Veg Family Restaurant,Bengaluru,"BTM, South Bengaluru",Multicuisine,2000,4.7
RVG Biryani Zone,Bengaluru,"Electronic City Phase 1, South Bengaluru","Biryani, Mughlai",800,5.0
Trishna,Bengaluru,"Banaswadi, North Bengaluru",Multicuisine,2000,4.2
Antra Veg,Bengaluru,"Banashankari, South Bengaluru",Multicuisine,2000,4.6
Celeb's RestoBar,Bengaluru,"Whitefield, East Bengaluru",Multicuisine,2000,4.7
Narmada,Bengaluru,"Marathahalli, East Bengaluru",Multicuisine,2000,4.3
Vembanad,Bengaluru,"The Paul, Bengaluru",Kerala,2000,4.4
Nostalgia Kolkata,Bengaluru,"Koramangala, South Bengaluru",Bengali,600,4.0
Mango Leaf Restaurant,Bengaluru,"Hoskote, Bengaluru",Multicuisine,1000,4.0
Chalukya Bar & Restaurant,Bengaluru,"Yeshwanthpur, West Bengaluru",Multicuisine,2000,5.0
Shift Lounge,Bengaluru,"Singasandra, Bengaluru",Multicuisine,2000,3.8
Kizakaya,Bengaluru,"Bellandur, South Bengaluru",Japanese,2000,5.0
Sanchez And Sriracha,Bengaluru,"Nagawara, North Bengaluru",Mexican,2000,4.8
Knock Back,Bengaluru,"Kadubeesanahalli, Bengaluru",Multicuisine,1000,5.0
Radio Bar,Bengaluru,"Bellandur, South Bengaluru",Multicuisine,2500,4.4
Amaiya- The Bakehouse,Bengaluru,"HSR, South Bengaluru",Cafe,2000,2.5
Havelli,Bengaluru,"Chairman's Club & Resort, Bengaluru",Multicuisine,2000,3.6
Qissa Arabic Restaurant,Bengaluru,"Indiranagar, East Bengaluru",Arabian,2000,4.4
Revival Restaurant & Banquets,Bengaluru,"Seshadripuram, Central Bengaluru","North Indian, South Indian, Chaat",1200,4.0
La Gioia,Bengaluru,"12th main, East Bengaluru",Italian,2000,4.4
Poco A Poco - Global Food & Music,Bengaluru,"Whitefield, East Bengaluru",Multicuisine,2000,4.5
Milano Pizza,Bengaluru,"Indiranagar, East Bengaluru","Italian, Ice Cream",600,4.0
Marbella Multi Cuisine Rooftop,Bengaluru,"JP Nagar, South Bengaluru",Multicuisine,2000,4.0
Indraprastha Family Restaurant,Bengaluru,"BTM, South Bengaluru",Multicuisine,2000,4.0
Aarell Cafe,Bengaluru,"Jayanagar, South Bengaluru",Italian,600,4.0
Mixnosh Art Cafe,Bengaluru,"7th block, Jayanagar , South Bengaluru","Fusion, Continental",600,4.0
Hi Tea De Atruim,Bengaluru,"Gandhi Nagar, Central Bengaluru",Multicuisine,2000,4.0
Rajdhani,Bengaluru,"Lulu Global Mall, Rajajinagar","Gujarati, North Indian, Rajasthani",2500,4.2
Zazzy Bar & Kitchen,Bengaluru,"Jalahalli, North Bengaluru",Multicuisine,2000,4.9
Aum's Kitchen,Bengaluru,"Sarjapur Road, South Bengaluru",Multicuisine,2000,3.7
Verve Coffee Lounge,Bengaluru,Howard Johnson Bengaluru Hebbal,"Cafe, Coffee",2000,1.0
Barnhouse,Bengaluru,"Kannamangala, Bengaluru",Multicuisine,3450,4.7
Kebapci,Bengaluru,"Forum Mall, Kanakapura Road",Turkish,2000,4.8
Onesta,Bengaluru,"New BEL Road, North Bengaluru",Italian,2000,4.5
Tango Kitchen & Bar,Bengaluru,"Mahadevapura, Bengaluru","Continental, Indian, Chinese",1200,4.5
The Rasoiya Street,Bengaluru,"JP Nagar, South Bengaluru",Multicuisine,800,4.6
Ala Dakshinapuramlo,Bengaluru,"Whitefield, East Bengaluru",South Indian,1400,4.0
2 RABBITS BAKES,Bengaluru,"Koramangala, South Bengaluru","Bakery, Cafe",2000,4.0
Hotel Canton Family Restaurant & Bar,Bengaluru,"Jayanagar, South Bengaluru","Chinese, European",2000,4.0
Aakasha Rooftop Lounge,Bengaluru,"Gandhi Nagar, Central Bengaluru","European, Pan Asian",2000,4.0
24@43,Bengaluru,"The Oterra, Bengaluru",Multicuisine,2500,4.3
Bamboo Restaurant,Bengaluru,"Kalyan Nagar, North Bengaluru","Chinese, Indian",500,4.3
Timbar,Bengaluru,"JP Nagar, South Bengaluru",Multicuisine,1500,4.3
Lola's All Day Casual Dining + Bar,Bengaluru,"Nagawara, North Bengaluru",Global Cuisine,1200,4.0
Sixth Stage Pub,Bengaluru,"Banashankari, South Bengaluru",Multicuisine,1000,5.0
Almonds Signature Cafe,Bengaluru,"New BEL Road, North Bengaluru",Multicuisine,2000,4.5
Dhaba On The Highway,Bengaluru,"Devanahalli, Bengaluru",North Indian,2000,4.0
City Choice Bar & Kitchen,Bengaluru,"Electronic City, South Bengaluru",Multicuisine,2000,4.0
Naya Flavours of India,Bengaluru,"Kasavanahalli, Bengaluru","North Indian, Chaat",600,4.0
Cup & Crumble Cafe,Bengaluru,"Domlur, East Bengaluru",Multicuisine,1000,4.0
Cravoury,Bengaluru,"Electronic City, South Bengaluru",Bakery,2000,4.0
Sea Rock Family Restaurant & Bar,Bengaluru,"Electronic City Phase 1, South Bengaluru","Seafood, Multicuisine",1200,5.0
Bling,Bengaluru,"The Zuri Whitefield, Bengaluru",Finger Food,3100,5.0
Skylark Resto Bar,Bengaluru,"Nagarbhavi, West Bengaluru",Multicuisine,2000,3.8
Bombay Brasserie,Bengaluru,"Manyata Tech Park, Nagawara",Modern Indian,2000,5.0
BRICKS Bar & Kitchen,Bengaluru,"100 Feet Road, East Bengaluru",Multicuisine,2500,5.0
Kababery,Bengaluru,"Bannerghatta Road, South Bengaluru","Chinese, Indian",500,5.0
Dhaba 1995 by Ramanashree,Bengaluru,"Yelahanka, North Bengaluru",Multicuisine,2000,5.0
The Awadh Expres,Bengaluru,"Whitefield, East Bengaluru",Awadhi,500,5.0
Urban Turban,Bengaluru,"Sarjapur Road, South Bengaluru",North Indian,2000,4.0
Aangan,Bengaluru,"Ramanashree California Resort, Bengaluru",European,2000,4.7
Echo,Bengaluru,"Aloft Bengaluru Outer Ring Road, South Bengaluru",Multicuisine,2000,4.4
Original Burger Co.,Bengaluru,"JP Nagar 5th Phase, South Bengaluru",Burgers,800,4.5
Saporeii - (Formerly 1BHK),Bengaluru,"Koramangala, South Bengaluru",Multicuisine,2000,4.4
William John's Pizza,Bengaluru,"Horamavu, Bengaluru","American, Italian",2000,4.9
Amaravathi Palace,Bengaluru,"JP Nagar, South Bengaluru",Andhra,800,4.0
Roast Your Beans,Bengaluru,Ramada by Wyndham Bengaluru Yelahanka,Fast Food,2000,4.9
Shankar's Kitchen - Silverdine,Bengaluru,"Anekal, South Bengaluru",Multicuisine,2000,4.7
Kappa Chakka Kandhari,Bengaluru,"Koramangala, South Bengaluru",Kerala,1600,4.3
Lunch Box - AT,Bengaluru,"Yelahanka, North Bengaluru","Chinese, Thai",2000,5.0
Zzarr Cafe & Business Lounge,Bengaluru,"Indiranagar, East Bengaluru",Multicuisine,2000,1.0
Napoli Italian Bistro,Bengaluru,"Sarjapur Road, South Bengaluru",Italian,2000,4.3
Parika,Bengaluru,"HSR, South Bengaluru",Multicuisine,2000,4.4
Alto Vino,Bengaluru,Bengaluru Marriott Hotel Whitefield,Italian,3000,4.2
Jolly Johnny's Bar,Bengaluru,"Koramangala, South Bengaluru",Italian,2500,5.0
Umbaa Pub & Kitchen,Bengaluru,"Whitefield, East Bengaluru",Multicuisine,2000,4.3
Flavours Restaurant,Bengaluru,Shravanthi Sarovar Portico,Multicuisine,2000,3.0
Tanour Multi Cuisine,Bengaluru,"BTM, South Bengaluru","Arabian, Chinese",600,5.0
Grand Desi Paratha,Bengaluru,"Rajarajeshwari Nagar, South Bengaluru",Indian,2000,4.2
Punjabi Times,Bengaluru,"Bellandur, South Bengaluru",Multicuisine,2000,4.7
The Spicy Plate,Bengaluru,"HSR, South Bengaluru",North Indian,2000,5.0
SpiceKlub,Bengaluru,"Jayanagar, South Bengaluru","Indian, Italian",2000,4.8
Roxie,Bengaluru,"Sarjapur Road, South Bengaluru",Multicuisine,1800,4.4
Barrel House Bar And Kitchen,Bengaluru,"Bannerghatta Road, South Bengaluru",Multicuisine,2000,4.8
Turquoise Bar,Bengaluru,Shravanthi Sarovar Portico,Multicuisine,2000,4.0
WAT Bar,Bengaluru,"Sterlings Mac Hotel, Bengaluru",Finger Food,2600,4.9
Salna,Bengaluru,"Kalyan Nagar, North Bengaluru",South Indian,700,5.0
The Fat Chef,Bengaluru,"Varthur Main Road, Whitefield","Italian, Continental",2000,4.2
Guru Greens,Bengaluru,"Bannerghatta Road, South Bengaluru",Multicuisine,800,4.1
Dolos Bar & Kitchen,Bengaluru,"JP Nagar, South Bengaluru",Multicuisine,2000,4.0
MisoSexy,Bengaluru,"12th main, East Bengaluru","Pan Asian, Asian",2000,4.3
Kalpaney,Bengaluru,"JP Nagar, South Bengaluru",Multicuisine,2500,4.5
Koi Kitchen,Bengaluru,"Old Madras Road, East Bengaluru",Multicuisine,2000,4.5
Udupi Sree Vishnum,Bengaluru,"JP Nagar, South Bengaluru",Indian,200,5.0
Kasipu Resto Bar,Bengaluru,"Jalahalli, North Bengaluru","Chinese, Indian",2500,4.3
Izanagi,Bengaluru,"Indiranagar, East Bengaluru",Japanese,2000,4.0
Zen,Bengaluru,"The Leela Palace, Bengaluru","Asian, Pan Asian",3450,4.4
Drava,Bengaluru,"Koramangala, South Bengaluru",Multicuisine,2000,4.0
Trippy Goat,Bengaluru,"Doddaballapura Main Road, North Bengaluru",European,800,4.0
Tibet Momo Cafe,Bengaluru,"Akshayanagar, South Bengaluru",Chinese,600,4.0
Bloom Cafe @ Brookefield,Bengaluru,"Brookefield, East Bengaluru",Multicuisine,2000,4.0
Nura Restaurant,Bengaluru,"Whitefield, East Bengaluru",Multicuisine,700,4.0
Chameleon Lounge Bar,Bengaluru,"Comfort INN Insys, Bengaluru",Finger Food,2000,4.5
Hunaaan,Bengaluru,"New BEL Road, North Bengaluru",Pan Asian,1500,4.5
Burgundy,Bengaluru,"Royal Orchid Suites, Bengaluru",Multicuisine,2000,3.9
Barista Coffee,Bengaluru,"Sadashiv Nagar, North Bengaluru","Cafe, Coffee",2000,4.4
Cafe Palmyra,Bengaluru,"Palm Meadows Resort, Bengaluru","Cocktail Menu, Multicuisine",2500,4.4
Secret Spot Cafe,Bengaluru,"Jayanagar, South Bengaluru",Multicuisine,800,4.5
Bigg Shots,Bengaluru,"International Airport, North Bengaluru","Cocktail Menu, Multicuisine",2000,3.0
ZIZA Taste of Frontier,Bengaluru,"Thanisandra, Bengaluru",Multicuisine,2000,2.5
Tingling Spice,Bengaluru,The Fern Residency,Multicuisine,2000,4.2
Sasive,Bengaluru,"Kanakapura Road, South Bengaluru",Multicuisine,2000,4.4
Orah Brew Garden,Bengaluru,"Yelahanka, North Bengaluru",Multicuisine,2500,5.0
Rosé Restaurant & Patisserie,Bengaluru,"Sanjay Nagar, North Bengaluru","Desserts, European",2000,4.0
Oakleaf,Bengaluru,"Oakwood Residence, Whitefield",Multicuisine,2500,4.5
Garden Asia,Bengaluru,"Koramangala, South Bengaluru","Tibetan, Chinese",2000,4.1
The Fish Club - Seafood Restaurant,Bengaluru,"BTM, South Bengaluru",Seafood,500,4.0
Copper Chimney,Bengaluru,"RMZ Galleria Mall, Yelahanka",North Indian,1600,4.4
Sky Lounge,Bengaluru,"V One Hotel - Ambara Elite, Bengaluru","Cocktail Menu, Multicuisine",2000,2.0
Blue Terrain,Bengaluru,Novotel Bengaluru Outer Ring Road,"Italian, Mediterranean",2500,4.1
The Terrace Bar,Bengaluru,"Fortune Park JP Celestial, Bengaluru",North Indian,2000,4.0
20 Char,Bengaluru,"Sterlings Mac Hotel, Bengaluru",Multicuisine,2300,4.0
Buns And Butter,Bengaluru,"Koramangala, South Bengaluru",Continental,400,4.0
Punjabi Adda,Bengaluru,"Banaswadi, North Bengaluru",North Indian,2000,4.0
The Caffee X,Bengaluru,"Rajarajeshwari Nagar, South Bengaluru",Multicuisine,1000,4.0
Plunge - By Vapor,Bengaluru,"Kammanahalli, East Bengaluru",Multicuisine,2000,5.0
Jam's Kitchen,Bengaluru,"Rajajinagar, West Bengaluru",Multicuisine,2000,4.0
The Chill House,Bengaluru,"HSR, South Bengaluru","Indian, Italian",2000,4.3
Back Benchers Bar and Canteen,Bengaluru,"Koramangala, South Bengaluru",Multicuisine,1000,4.0
Armadq Gastro Pub,Bengaluru,"Mahadevapura, Bengaluru",Multicuisine,1800,3.5
Manbhavan Thali,Bengaluru,"Vega City Mall, Bannerghatta Road","Rajasthani, Gujarati",2000,4.5
Iron & Timber Lounge,Bengaluru,"Brookefield, East Bengaluru","Indian, Finger Food, Fusion",1700,4.5
Sarpanch Da Dhaba,Bengaluru,"Akshayanagar, South Bengaluru",Multicuisine,2000,4.3
Xero Degrees Bel Road,Bengaluru,"New BEL Road, North Bengaluru",Multicuisine,800,4.0
81 Casual Dine,Bengaluru,"BTM, South Bengaluru",Multicuisine,1500,4.7
Roxbury Bar & Kitchen,Bengaluru,"Hennur, North Bengaluru",Multicuisine,1200,4.8
Strona,Bengaluru,The Fern Residency,"North Indian, European",2000,3.6
The Studs Cafe,Bengaluru,"Kalyan Nagar, North Bengaluru","Cafe, European, Desserts",2000,5.0
Sequence Restobar,Bengaluru,"Seshadripuram, Central Bengaluru",Multicuisine,2000,5.0
Simply Native,Bengaluru,"Domlur, East Bengaluru",South Indian,2000,3.5
Chez Nous,Bengaluru,Novotel Bengaluru Outer Ring Road,"Cocktail Menu, Multicuisine",2500,4.0
DE Fish Restaurant,Bengaluru,"Kalyan Nagar, North Bengaluru","Indian Coastal Cuisine, Seafood",600,4.0
No Limmits Global Desi & Bar,Bengaluru,"Yelahanka, North Bengaluru",Multicuisine,2000,4.0
Mirth,Bengaluru,"Indiranagar, East Bengaluru",Multicuisine,2500,5.0
Sukino Cafe & Kitchen,Bengaluru,"Banashankari, South Bengaluru",Multicuisine,800,5.0
Cheers Parathas,Bengaluru,"Kanakapura Road, South Bengaluru",Multicuisine,2000,5.0
Coco Bay,Bengaluru,"Akshayanagar, South Bengaluru","Italian, Spanish",500,5.0
Hops Haus - Taproom,Bengaluru,"Bellary Road, North Bengaluru",Multicuisine,2000,4.6
Pasta Pasta,Bengaluru,"Sarjapur Road, South Bengaluru",Italian,2000,4.0
La Roserie,Bengaluru,"Kalyan Nagar, North Bengaluru",European,800,4.0
Sattvam,Bengaluru,"Sadashiv Nagar, North Bengaluru",Multicuisine,3450,4.9
Pind Balluchi,Bengaluru,"Kaikondrahalli, Bengaluru",North Indian,800,3.7
Once Upon A Flame,Bengaluru,"HSR, South Bengaluru","Steakhouse, European",2000,5.0
