Restaurant Name,City,Area,Cuisine Type,Cost for Two,Ratings
Pa Pa Ya,delhi-ncr,"Select Citywalk Mall, Saket",Multicuisine,₹2000 for two,4.5
Solasta Cafe,delhi-ncr,"Gwal Pahari, Gurgaon",Multicuisine,₹800 for two,4.0
Flow Brew & Dine,delhi-ncr,"Commons at DLF Avenue, Saket","Modern Indian, Cocktail Menu",₹1300 for two,4.3
The Yellow Chilli,delhi-ncr,"Sector 90, Noida, Noida",Multicuisine,₹1500 for two,5.0
Cafe StayWoke,delhi-ncr,"Sector 47, Gurgaon",Multicuisine,₹1200 for two,4.0
Minerals,delhi-ncr,"Sector 104, Noida","Continental, Chinese, North Indian",₹1200 for two,5.0
Kasso,delhi-ncr,"Moti Nagar, West Delhi",Multicuisine,₹1500 for two,5.0
Cafe Honey,delhi-ncr,"Sector 29, Gurgaon",Chinese,₹1800 for two,5.0
TBSP - Tablespoon,delhi-ncr,"Cyber Hub, Gurgaon",American,₹2000 for two,4.6
Cafe C,delhi-ncr,"DLF South Court Mall, Saket",Multicuisine,₹1500 for two,3.0
Jujube Asian Experience,delhi-ncr,"Sector 59, Gurgaon",Asian,₹1500 for two,4.9
Cafe High Octane,delhi-ncr,"Sector 135, Noida",Street Food,₹1000 for two,4.0
Terrace Grill,delhi-ncr,"Crowne Plaza Gurgaon, An IHG Hotel",Multicuisine,₹2000 for two,4.0
#3Bros Express,delhi-ncr,"Sector 75, Noida",Pan Asian,₹600 for two,4.0
Zenba,delhi-ncr,"Vibe by the Lalit Traveller, Faridabad",Multicuisine,₹1200 for two,4.0
Sum Yum Asia,delhi-ncr,"DLF Phase 4, Gurgaon",Chinese,₹600 for two,5.0
Japonico,delhi-ncr,"Sector 43, Gurgaon",Japanese,₹2500 for two,4.4
Shanghai by Lamppost,delhi-ncr,"Global Foyer Mall, Gurgaon",Pan Asian,₹2500 for two,3.7
Punjabi Angithi - Fine Dine By Vegorama Group,delhi-ncr,"ARSS Mall, Paschim Vihar",Indian,₹800 for two,4.8
Grammie,delhi-ncr,"R K Puram, South Delhi",Multicuisine,₹2000 for two,4.0
Diya,delhi-ncr,"The Leela Ambience, Gurgaon",Regional Indian,₹4500 for two,4.4
Noidawery 90,delhi-ncr,"Sector 90, Noida, Noida",Multicuisine,₹1400 for two,2.0
Walk In The Woods,delhi-ncr,"Vaishali, Ghaziabad",Asian,₹1300 for two,4.6
Culinaire,delhi-ncr,"Sector 15, Faridabad","Thai, Chinese",₹1200 for two,4.5
Cream Centre - Vegetarian Legacy Since 1958,delhi-ncr,"Sector 57, Gurgaon",Multicuisine,₹1200 for two,5.0
Bomba - Pizzeria & Taqueria,delhi-ncr,"The Gallery On MG, Sultanpur",Pizza,₹1500 for two,4.2
Delhi Pavilion,delhi-ncr,"Sheraton, New Delhi, South Delhi",Multicuisine,₹3000 for two,4.2
Khubani,delhi-ncr,"Aerocity, South Delhi",Multicuisine,₹3500 for two,3.6
Moti Mahal,delhi-ncr,"Greater Kailash (GK) 1, South Delhi","Chinese, Asian, Continental",₹1500 for two,4.0
Athenaa Luxe Club,delhi-ncr,"Sector 68, Gurgaon",Multicuisine,₹1800 for two,4.0
The Weekend Wine & More,delhi-ncr,"Sector 98, Noida",Multicuisine,₹1500 for two,3.0
Moti Mahal,delhi-ncr,"DLF Phase 1, Gurgaon",Mughlai,₹1200 for two,5.0
Castle's Barbeque,delhi-ncr,"Janakpuri, West Delhi",Multicuisine,₹2000 for two,2.8
Swaad Anusaar,delhi-ncr,"Ashok Vihar Phase 2, North Delhi",Multicuisine,₹800 for two,4.4
Gelato Italiano,delhi-ncr,"Rajouri Garden, West Delhi","Fast Food, Ice Cream",₹150 for two,4.0
I Love Deserts,delhi-ncr,"GTB Nagar, North Delhi",Desserts,₹200 for two,4.0
Downtown Kitchen & Bar,delhi-ncr,"Courtyard By Marriott, Gurgaon",Multicuisine,₹2700 for two,4.1
Tipsy Terrace,delhi-ncr,"Preet Vihar, East Delhi",Multicuisine,₹1500 for two,4.0
Pastiche,delhi-ncr,"32nd Avenue, Gurgaon",European,₹2000 for two,5.0
Zanotta,delhi-ncr,"The Leela Ambience, Gurgaon",Italian,₹4000 for two,4.6
Grubsoul Seafoods,delhi-ncr,"Golf Course Road, Gurgaon",Seafood,₹900 for two,4.4
Noon Mirch,delhi-ncr,"Indirapuram, Ghaziabad",Modern Indian,₹1500 for two,4.0
Rose Cafe,delhi-ncr,"Eldeco Centre, Saket, Delhi NCR","Italian, Continental",₹1200 for two,3.9
The Paris Coffeehouse,delhi-ncr,"Greater Kailash (GK) 2, South Delhi","Asian, Continental, Coffee",₹1300 for two,4.0
Koca,delhi-ncr,"Golf Avenue 42, Gurgaon",Multicuisine,₹1200 for two,3.8
Asper,delhi-ncr,"The Kitchens, Gurgaon","European, Middle Eastern",₹2500 for two,4.3
Spice Art – The Indian Restaurant,delhi-ncr,"Crowne Plaza, Greater Noida",Indian,₹2500 for two,4.8
Dirty Rabbit,delhi-ncr,"Kailash Colony, South Delhi",Multicuisine,₹1800 for two,4.0
Artisan by Chicago Pizza,delhi-ncr,"Pacific Mall, Netaji Subhash Place","Italian, Pizza",₹800 for two,3.5
Della Nucci,delhi-ncr,"Sector 104, Noida",Multicuisine,₹1000 for two,4.0
Prate Cafe,delhi-ncr,"Sector 67, Gurgaon",Multicuisine,₹1400 for two,5.0
Mironi - A Culinary affair.,delhi-ncr,"Sector 4, Dwarka, West Delhi",Multicuisine,₹1000 for two,5.0
Di Ghent Cafe,delhi-ncr,"Cross Point Mall, Gurgaon","Cafe, European",₹1200 for two,4.5
Da' Mivaan,delhi-ncr,"Nirala Estate, Delhi NCR",Multicuisine,₹1500 for two,5.0
"Bayleaf, The Meriton Hotel",delhi-ncr,"Nehru Place, South Delhi",Multicuisine,₹1200 for two,4.0
Raiya,delhi-ncr,"Hauz Khas, South Delhi","Continental, North Indian, Fusion",₹3000 for two,5.0
Modernist Bar by Tulip Club House,delhi-ncr,"Sector 70, Gurgaon",Multicuisine,₹1400 for two,4.0
Vertigo Rooftop Resto & Bar,delhi-ncr,"Sector 12, Dwarka, West Delhi",Multicuisine,₹1000 for two,4.0
OMI By Aldott,delhi-ncr,"DLF Phase 3, Gurgaon",Multicuisine,₹900 for two,4.7
Saffron,delhi-ncr,"Trident, Gurgaon",North Indian,₹3200 for two,4.5
Impulse,delhi-ncr,"Sector 38, Noida",Multicuisine,₹1100 for two,1.0
Railicious,delhi-ncr,"Vaishali, Ghaziabad",North Indian,₹1200 for two,4.5
Bread & More,delhi-ncr,"Vasant Vihar, South Delhi",Cafe,₹550 for two,4.3
Breakin Brew,delhi-ncr,"Ambience Mall, Gurgaon",Multicuisine,₹1200 for two,5.0
Show Sha Baazi,delhi-ncr,"Preet Vihar, East Delhi",Multicuisine,₹1000 for two,3.7
The Switch,delhi-ncr,"Sector 43, Gurgaon",Multicuisine,₹1200 for two,4.0
The Delhi Bistro,delhi-ncr,"Kapashera, South Delhi",Continental,₹1000 for two,4.0
Cuoco The Cafe,delhi-ncr,"Prashant Vihar, North Delhi",Multicuisine,₹600 for two,3.0
Jalisco Brews & Bites,delhi-ncr,"Sector 153, Noida",Multicuisine,₹1400 for two,4.3
The Prizm,delhi-ncr,"Sector 7, Dwarka, West Delhi","Beverages, Multicuisine",₹800 for two,4.3
Tizoe,delhi-ncr,"Khel Gaon Marg, South Delhi",Multicuisine,₹1300 for two,2.5
The Pint Room,delhi-ncr,"Vasant Vihar, South Delhi","Finger Food, Cocktail Menu",₹1500 for two,4.0
Golden Paprika,delhi-ncr,"Indirapuram, Ghaziabad","Indian, oriental, Continental",₹1300 for two,4.0
Verde by Game Palacio,delhi-ncr,"DLF Mall of India, Sector 18, Noida",Multicuisine,₹2000 for two,4.0
Bar Rosso Cafe,delhi-ncr,"Sector 75, Noida",Multicuisine,₹1200 for two,1.0
The SoHo Garden,delhi-ncr,"Signature Global Mall, Vaishali",Multicuisine,₹1100 for two,3.3
Capital Diner,delhi-ncr,"DT Mega Mall, Golf Course Road",Multicuisine,₹1500 for two,4.7
H Palate,delhi-ncr,"Greater Kailash (GK) 1, South Delhi",Indian,₹2000 for two,3.7
Kake Di Hatti,delhi-ncr,"Signature Global Mall, Vaishali",North Indian,₹1000 for two,3.9
Singh Sahib,delhi-ncr,"M3m 65th Avenue, Sector 65, Gurgaon",Indian,₹1600 for two,4.0
Cafe Fika,delhi-ncr,"Hauz Khas Village, South Delhi",Cafe,₹1200 for two,4.0
Tossin Pizza,delhi-ncr,"Greater Kailash (GK) 2, South Delhi",Italian,₹800 for two,4.1
SOCA - Brewery & Cocktail Bar,delhi-ncr,"DLF Star Mall, Gurgaon",Multicuisine,₹1500 for two,4.7
REVE,delhi-ncr,"The Walk, Worldmark Delhi",European,₹1500 for two,4.6
Bartari Resto Bar & Club,delhi-ncr,"Elan Epic Mall, Sector 70 Gurgaon",Multicuisine,₹1000 for two,5.0
Begam,delhi-ncr,"Defence Colony, South Delhi",Multicuisine,₹3000 for two,3.3
Cena Pranzo – Italian Eatery,delhi-ncr,"Grand Hyatt, Gurgaon","Desserts, Italian",₹4000 for two,4.1
Singh Sahib,delhi-ncr,"Eros Hotel, Nehru Place",North Indian,₹2200 for two,4.3
Pickwicks,delhi-ncr,"The Claridges, New Delhi",Multicuisine,₹3000 for two,4.4
F Bar By Fashion TV,delhi-ncr,"Sector 133, Noida",Multicuisine,₹1500 for two,5.0
Foreign Flavours,delhi-ncr,"DLF Phase 4, Gurgaon",Multicuisine,₹800 for two,4.5
Sohan's Mantra,delhi-ncr,"Raj Nagar, Ghaziabad",Multicuisine,₹800 for two,5.0
Burash,delhi-ncr,"Sector 132, Noida",Mediterranean,₹1900 for two,3.9
Cafe DEM,delhi-ncr,"Metro Walk Mall, Rohini",Multicuisine,₹1400 for two,4.1
Dakshin,delhi-ncr,"Sheraton, New Delhi, South Delhi",South Indian,₹4000 for two,4.5
Old Street Cafe & Lounge,delhi-ncr,"Vijay Nagar, North Delhi",Multicuisine,₹1100 for two,5.0
Andhra Delight,delhi-ncr,"Street 76 Plaza, Sector 76, Noida","Chinese, North Indian, South Indian",₹600 for two,4.0
Mala - Akbari,delhi-ncr,"Sector 69, Gurgaon","Mughlai, North Indian",₹1600 for two,4.0
Arts Room,delhi-ncr,"Eldeco Centre, Saket, Delhi NCR",Multicuisine,₹3000 for two,4.5
Coastal Shack,delhi-ncr,"Park Inn by Radisson, Lajpat Nagar 4",Multicuisine,₹2000 for two,5.0
Crazy Noodles,delhi-ncr,"Sector 63, Noida",Chinese,₹500 for two,5.0
Remy's,delhi-ncr,"The Boulevard At Magnum Global Park, Sector 58, Gurgaon",Italian,₹2800 for two,5.0
Ashirwad Restaurant,delhi-ncr,"Sector 16, Faridabad",Multicuisine,₹600 for two,3.9
Cafe Kuvo,delhi-ncr,"Sector 5, Dwarka, West Delhi",Cafe,₹800 for two,5.0
Veggie Art,delhi-ncr,"Vaishali, Ghaziabad",Multicuisine,₹1000 for two,4.0
The Calm Cup Cafe,delhi-ncr,"M3m 65th Avenue, Sector 65, Gurgaon","Mexican, Continental, Coffee",₹1400 for two,5.0
Food Frolic Microbrewery & Bar,delhi-ncr,"Sector 83, Gurgaon",Multicuisine,₹2000 for two,4.0
Cafe Breeze - Air By Ahuja Residency,delhi-ncr,"Sector 25, Gurgaon, Gurgaon",Multicuisine,₹1000 for two,4.0
Kashmirana,delhi-ncr,"Sector 49, Gurgaon",Kashmiri,₹1100 for two,4.0
Garam Dharam,delhi-ncr,"Mohan Nagar, Ghaziabad",North Indian,₹1000 for two,4.6
Coba,delhi-ncr,"Vasant Square Mall, Vasant Kunj","Peruvian, Multicuisine",₹3000 for two,3.9
Moti Mahal Delux,delhi-ncr,"Vaishali, Ghaziabad",Multicuisine,₹1200 for two,4.0
Ambrosia,delhi-ncr,"The Golden Palms Hotel, New Delhi",Multicuisine,₹1500 for two,4.1
Delhi Barbeque,delhi-ncr,"Taurus Sarovar Portico Hotel, New Delhi","Multicuisine, Barbeque",₹1500 for two,3.7
Pinxx - Bar,delhi-ncr,"Sector 49, Gurgaon",Cocktail Menu,₹1200 for two,2.0
Food Mohalla,delhi-ncr,"Sector 135, Noida",Multicuisine,₹500 for two,4.0
Elina Vara,delhi-ncr,"Chattarpur, South Delhi","European, Pan Asian",₹2500 for two,4.6
Tayles,delhi-ncr,Hilton Gurugram Baani City Centre,Finger Food,₹3000 for two,5.0
Sky Grill - A Mediterranean Experience,delhi-ncr,"Radisson Blu Towers Kaushambi Delhi NCR, Ghaziabad",Mediterranean,₹2400 for two,5.0
Ivory Tap,delhi-ncr,"Sector 63, Noida",Multicuisine,₹1800 for two,4.0
Cafe D'or,delhi-ncr,"Vasant Kunj, South Delhi",Multicuisine,₹1600 for two,4.0
Kanha Rajwadi - Aroma Of Rajasthan,delhi-ncr,"Sapphire 90 Mall, Gurugram",Multicuisine,₹1000 for two,2.6
SILQ,delhi-ncr,"Chanakyapuri, Central Delhi",Indian,₹3500 for two,5.0
Chatori Kitchen,delhi-ncr,"Sector 144, Noida","Chinese, North Indian",₹1500 for two,5.0
Upgrade Kitchen & Bar,delhi-ncr,"New Friends Colony, South Delhi","Cocktail Menu, Multicuisine",₹800 for two,4.0
Juuls,delhi-ncr,"Sector 104, Noida",Multicuisine,₹1000 for two,3.7
Basko,delhi-ncr,"Sector 104, Noida",Multicuisine,₹2400 for two,4.3
Cafe Nipaso,delhi-ncr,"Golf Course Road, Gurgaon",Multicuisine,₹800 for two,5.0
Black Lotus,delhi-ncr,"Sector 61, Gurgaon",Pan Asian,₹1200 for two,5.0
Palmyra,delhi-ncr,"The Bristol, Gurgaon",Multicuisine,₹2500 for two,4.4
The Fio Table,delhi-ncr,"The Kitchens, Gurgaon",Multicuisine,₹4000 for two,3.7
Keasar Fine Dining,delhi-ncr,"Vikas Marg, East Delhi",Multicuisine,₹1200 for two,2.0
Studio Xo Bar,delhi-ncr,"Sector 94, Noida",Multicuisine,₹1200 for two,1.0
24/7,delhi-ncr,"The LaLiT Mangar, Faridabad",Multicuisine,₹2500 for two,4.5
Saule Kitchen & Bar,delhi-ncr,"Sector 128, Noida",Multicuisine,₹2000 for two,4.2
Staple Delhi,delhi-ncr,"Greater Kailash (GK) 2, South Delhi",Modern Indian,₹1500 for two,5.0
The Black Salt Restaurant & Bar,delhi-ncr,"Sapphire 90 Mall, Sector 90, Gurgaon",Multicuisine,₹1000 for two,4.4
ilios,delhi-ncr,"Rajouri Garden, West Delhi",Multicuisine,₹1000 for two,3.0
Zaika Foods,delhi-ncr,"Daryaganj, Old Delhi",Multicuisine,₹700 for two,4.1
Mainland China,delhi-ncr,"Greater Kailash (GK) 2, South Delhi",Chinese,₹1600 for two,4.2
Zoca Cafe,delhi-ncr,"Airia Mall, Sector 68, Gurgaon",Multicuisine,₹1000 for two,4.0
Shanghai Bar & Lounge,delhi-ncr,"The Bristol, Gurgaon","Cocktail Menu, Finger Food",₹1600 for two,4.8
Marieta,delhi-ncr,"Two Horizon Center, Golf Course Road","European, Mexican, Asian",₹2000 for two,4.4
Khidmat,delhi-ncr,"Sector 50, Noida",North Indian,₹750 for two,4.3
Crave Bar,delhi-ncr,Radisson Hotel Sector 29 Gurugram,Multicuisine,₹2000 for two,3.8
Blooms Cafe & Lounge,delhi-ncr,"Lajpat Nagar 2, South Delhi",Multicuisine,₹1000 for two,4.0
Sankalp A Multicuisine Restaurant,delhi-ncr,"Sector 13, Dwarka, West Delhi",Multicuisine,₹1200 for two,4.3
Emerald House,delhi-ncr,"Ashok Vihar Phase 2, North Delhi",Multicuisine,₹1000 for two,5.0
Banjara,delhi-ncr,"Goldfinch Hotel, Faridabad",Multicuisine,₹2000 for two,4.0
The Forestta,delhi-ncr,"Sector 54, Gurgaon",Multicuisine,₹1000 for two,3.8
Smaaash Airia,delhi-ncr,"Sector 68, Gurgaon",Multicuisine,₹1200 for two,4.4
Bahce,delhi-ncr,"Worldmark 4, Sector 65, Gurgaon",Multicuisine,₹1500 for two,4.0
Dice & Fork,delhi-ncr,"M3m 65th Avenue, Sector 65, Gurgaon",Continental,₹1000 for two,4.0
D Dion,delhi-ncr,"Qutab Institutional Area, South Delhi",Multicuisine,₹2500 for two,4.0
Promenade,delhi-ncr,"Park Plaza, Shahdara",North Indian,₹1600 for two,3.5
Ginza,delhi-ncr,"Aerocity, South Delhi",Japanese,₹2000 for two,4.0
Magadh and Awadh,delhi-ncr,"DLF Phase 4, Gurgaon",Multicuisine,₹1000 for two,4.0
Foresta,delhi-ncr,"Saidulajab, South Delhi",Multicuisine,₹800 for two,4.5
ShiShi,delhi-ncr,"Rajinder Nagar, Central Delhi",Multicuisine,₹1800 for two,4.0
Salt & Smoke,delhi-ncr,"Punjabi Bagh, West Delhi",Multicuisine,₹1200 for two,4.0
Bangla Canvas Restaurant,delhi-ncr,"Kalkaji, South Delhi",Bengali,₹1000 for two,3.8
The Sunroom,delhi-ncr,"Kapashera, South Delhi","North Indian, Asian",₹1200 for two,4.3
"Peach- Microbrewery, Bar & Kitchen",delhi-ncr,"Sector 96, Noida",NA,₹1500 for two,4.0
My Buffet Restaurant & Bar,delhi-ncr,"Sector 62, Noida",Multicuisine,₹800 for two,1.0
Akra,delhi-ncr,"Lajpat Nagar 3, South Delhi",Multicuisine,₹1500 for two,2.3
Bistro 57,delhi-ncr,"Omaxe World Street, Sector 79, Faridabad",Multicuisine,₹700 for two,4.5
Reflex,delhi-ncr,"Sector 66, Gurgaon",Multicuisine,₹2000 for two,4.3
Bottle House,delhi-ncr,"Satyaniketan, South Delhi",Multicuisine,₹1000 for two,4.5
The Malabar Coast By Appumm House,delhi-ncr,"Sector 62, Noida",Indian Coastal Cuisine,₹900 for two,4.1
Moti Mahal Delux,delhi-ncr,"Greater Noida, Noida",Multicuisine,₹1000 for two,2.0
The Noble House,delhi-ncr,"Holiday Inn, Mayur Vihar Phase 1",Pan Asian,₹2200 for two,4.0
The Bar,delhi-ncr,"Hyatt Place, Gurgaon",Finger Food,₹1500 for two,4.0
Nomai,delhi-ncr,"Elan Epic Mall, Sector 70 Gurgaon",Multicuisine,₹1000 for two,4.7
Punjabi Chaap Corner,delhi-ncr,"Indirapuram, Ghaziabad",Multicuisine,₹600 for two,4.0
Blinkk Bar and Dining,delhi-ncr,"Elan town center, Sector 67",Multicuisine,₹1800 for two,4.0
Poornatva Organic Cafe And Bakery,delhi-ncr,"Sector 49, Noida",Bakery,₹1000 for two,4.0
The Masala Story,delhi-ncr,"South City 2, Gurgaon",North Indian,₹900 for two,5.0
Sagar Ratna,delhi-ncr,"Omega II, Noida",South Indian,₹600 for two,4.3
Le Cirque,delhi-ncr,"The Leela Palace, New Delhi",Italian,₹3800 for two,4.5
Status Restaurant & Cafe,delhi-ncr,"Vasundhara, Ghaziabad",Multicuisine,₹1500 for two,5.0
Drunken Detective,delhi-ncr,"Indirapuram, Ghaziabad",Multicuisine,₹1200 for two,4.0
Moreish Courtyard,delhi-ncr,"Saidulajab, South Delhi",Multicuisine,₹1000 for two,5.0
Thai Esan,delhi-ncr,"Central Plaza Mall, Gurgaon",Thai,₹1000 for two,4.0
Soul Mykonos,delhi-ncr,"Reach 3 Roads Mall, Sector 70","Italian, North Indian",₹1500 for two,4.1
Diablo,delhi-ncr,"sector 94, Noida, Noida",Global Cuisine,₹3000 for two,5.0
Lighthouz Brewery & Kitchen,delhi-ncr,"Iris Broadway, Sector 85, Gurugram",Multicuisine,₹1200 for two,4.0
Tangerine,delhi-ncr,"Sarovar Portico, Ghaziabad",Indian,₹1600 for two,4.1
The Panache,delhi-ncr,"Sector 17, Dwarka, West Delhi",Multicuisine,₹1200 for two,4.6
Kaah De Vae,delhi-ncr,"Mehrauli, South Delhi",Multicuisine,₹2500 for two,4.0
Fat Lulu’s Project,delhi-ncr,"Sector 58, Gurgaon",Multicuisine,₹1500 for two,5.0
Shahi Mahal Restro Bar,delhi-ncr,"Spectrum Metro Mall, Noida",Multicuisine,₹1200 for two,4.2
Orchid - The Multi-cuisine Restaurant,delhi-ncr,"Fortune Select Global, Gurgaon",Multicuisine,₹3000 for two,4.8
Dandy - The FIO Bar,delhi-ncr,"Epicuria Mall, Nehru Place","Finger Food, Cocktail Menu",₹1500 for two,4.5
Pret A Manger,delhi-ncr,"Khan Market, Central Delhi","Cafe, Fast Food",₹800 for two,4.0
Cafe Coffee Bar,delhi-ncr,"City Centre Mall, Dwarka",Multicuisine,₹1500 for two,3.9
Kaala Namak,delhi-ncr,"Gyanendra Jeevan Complex, Greater Noida","Chinese, Indian",₹1600 for two,3.2
Bohemian Easy Dining,delhi-ncr,"Gardens Galleria Mall, Sector 38 Noida",Continental,₹1000 for two,4.7
The Palette Cafe,delhi-ncr,"Chattarpur, South Delhi",Multicuisine,₹1200 for two,4.6
Kewaan,delhi-ncr,"Malviya Nagar, South Delhi",Pan Asian,₹1500 for two,5.0
Moti Mahal Barbeque,delhi-ncr,"Sector 51, Noida",Multicuisine,₹1500 for two,4.1
Syrah,delhi-ncr,"Hyatt Regency, New Delhi","Mediterranean, Middle Eastern",₹5200 for two,4.5
Barbeque Nation,delhi-ncr,"Pacific Mall, NIT Faridabad",Multicuisine,₹1000 for two,4.0
Potions,delhi-ncr,"Mehrauli, South Delhi","Indian, European",₹3100 for two,4.0
Bella Ciao,delhi-ncr,"Greater Kailash (GK) 2, South Delhi",Multicuisine,₹2400 for two,3.7
Kahani Indian Fine Dining Restaurant,delhi-ncr,"Paschim Vihar, West Delhi",Indian,₹900 for two,4.1
Cabo Deli,delhi-ncr,"Sainik Farms, South Delhi",Multicuisine,₹1200 for two,2.2
The Green Room By Mia’s,delhi-ncr,"Greater Kailash (GK) 2, South Delhi","Indian, Continental",₹1500 for two,4.0
Miraco,delhi-ncr,"Paschim Vihar, West Delhi",Multicuisine,₹1000 for two,4.0
Oudh 1590,delhi-ncr,"Sector 18, Noida",Indian,₹1200 for two,4.0
Railicious - Swad Ki Railgadi,delhi-ncr,"Sector 78, Noida",Multicuisine,₹1200 for two,3.2
Kamboj's,delhi-ncr,"Sector 37, Noida",North Indian,₹1000 for two,3.0
Club Gourmand,delhi-ncr,"Sector 132, Noida","Indian, Pan Asian, Continental",₹1600 for two,4.6
BeeYoung Brewgarden,delhi-ncr,"Panchsheel Park, South Delhi",Multicuisine,₹2500 for two,3.9
CP's Bhape Restaurant,delhi-ncr,"Golf Course Road, Gurgaon",North Indian,₹600 for two,3.0
Bella Vie,delhi-ncr,"Sainik Farms, South Delhi","Continental, Italian",₹800 for two,2.6
Zeromiles Lounge and Bar,delhi-ncr,"Swarn Nagri, Noida",Multicuisine,₹1200 for two,3.0
Kesar,delhi-ncr,"Ashok Vihar Phase 2, North Delhi",North Indian,₹1000 for two,4.4
Smaaash,delhi-ncr,"Sector 18, Noida",Multicuisine,₹1200 for two,4.2
Zaza - All Day Dining,delhi-ncr,"Greater Kailash (GK) 1, South Delhi",Multicuisine,₹1500 for two,3.0
Rajwada Bhog,delhi-ncr,"Pacific Mall, NIT Faridabad",Gujarati,₹950 for two,3.7
Pups & Cups Cafe,delhi-ncr,"Sector 72, Noida","Cafe, Multicuisine",₹1000 for two,5.0
Galazio,delhi-ncr,"Westend Marg, South Delhi",Multicuisine,₹1200 for two,4.3
Agama Cafe,delhi-ncr,"Greater Kailash (GK) 2, South Delhi",Multicuisine,₹1300 for two,5.0
Raqs Sky Bar,delhi-ncr,"Sector 65, Gurgaon","Cocktail Menu, Multicuisine",₹1200 for two,2.7
Krispy Kreme,delhi-ncr,"Ambience Mall, Gurgaon",Desserts,₹200 for two,5.0
The SparQ,delhi-ncr,"Sector 1, Noida",Multicuisine,₹1200 for two,4.0
Aries Cafe,delhi-ncr,"Gwal Pahari, Gurgaon",Multicuisine,₹1000 for two,4.0
Andrea's Bistro,delhi-ncr,"DLF Promenade Mall, Vasant Kunj",Multicuisine,₹3500 for two,4.8
Ebowla CyberPark,delhi-ncr,"Sector 39, Gurgaon",Multicuisine,₹1000 for two,2.8
Kiyan,delhi-ncr,"The Roseate, New Delhi",Multicuisine,₹2800 for two,4.6
Mashaya,delhi-ncr,"Raj Nagar, Ghaziabad",Multicuisine,₹1200 for two,3.6
Cafe 9,delhi-ncr,Sarovar Portico Naraina,NA,₹1500 for two,4.5
The Malabar Coast,delhi-ncr,"Sector 57, Gurgaon",Indian Coastal Cuisine,₹1200 for two,4.3
Breakin’ Brew,delhi-ncr,"Sector 66, Gurgaon",Multicuisine,₹700 for two,5.0
My Tea Chapel,delhi-ncr,"DLF Promenade Mall, Vasant Kunj","Pizza, Bubble Tea",₹450 for two,4.0
Rookies,delhi-ncr,"Sector 142, Noida",Multicuisine,₹1200 for two,3.8
IKI & GAI,delhi-ncr,"R K Puram, South Delhi",Global Cuisine,₹3000 for two,5.0
Little Italy,delhi-ncr,"Country Inn & Suites by Radisson, Ghaziabad",Italian,₹1100 for two,5.0
The Chinese Panda,delhi-ncr,"Sector 29, Gurgaon",Chinese,₹800 for two,3.7
Hype,delhi-ncr,"Sector 62, Noida","Chinese, Indian, Continental",₹1500 for two,2.7
Grillardin,delhi-ncr,"Sector 66, Gurgaon",Multicuisine,₹1200 for two,4.4
Lake View Bistro,delhi-ncr,"Hauz Khas Village, South Delhi",Multicuisine,₹800 for two,3.5
Coffee Island Beyond,delhi-ncr,"Greater Kailash (GK) 2, South Delhi","Cafe, Sandwiches, Coffee and Tea",₹500 for two,5.0
Locus,delhi-ncr,"East of Kailash, South Delhi",Multicuisine,₹1200 for two,1.0
Kiiza Cafe and Lounge,delhi-ncr,"GTB Nagar, North Delhi",Multicuisine,₹1500 for two,1.0
Arowana,delhi-ncr,"Sector 65, Gurgaon",Asian,₹1100 for two,4.0
Saundhee Potli,delhi-ncr,"Sector 75, Noida",Multicuisine,₹400 for two,3.5
Oh! Calcutta,delhi-ncr,"Greater Kailash (GK) 2, South Delhi",Bengali,₹1700 for two,4.7
Elia Kitchen & Bar,delhi-ncr,"Rajouri Garden, West Delhi",Multicuisine,₹1200 for two,4.0
Tirathvasi By Chef Mukesh Aswal,delhi-ncr,"Sector 10, Rohini, West Delhi",Multicuisine,₹900 for two,3.3
The Game Palacio,delhi-ncr,"Pitampura, North Delhi","Italian, Asian",₹1500 for two,5.0
Aravali Pavillion,delhi-ncr,"ITC Grand Bharat, Gurgaon",Multicuisine,₹5000 for two,5.0
Mestizo,delhi-ncr,"Vasant Vihar, South Delhi",Latin American,₹2000 for two,5.0
The Bartender’s Code,delhi-ncr,"Greater Kailash (GK) 1, South Delhi",Multicuisine,₹1500 for two,4.0
Kutumb,delhi-ncr,"South City 2, Gurgaon",Indian,₹1000 for two,4.2
New Town Cafe,delhi-ncr,"Hotel Park Plaza, Gurgaon",Multicuisine,₹2000 for two,4.5
Jalsa Air Bar,delhi-ncr,"Sector 49, Gurgaon",Multicuisine,₹1200 for two,4.3
Punjabi By Nature,delhi-ncr,"Sector 81, Faridabad, Faridabad",North Indian,₹2000 for two,4.0
F Bar & Lounge,delhi-ncr,"Gardens Galleria Mall, Sector 38 Noida",Multicuisine,₹1500 for two,3.3
Depot 48,delhi-ncr,"Greater Kailash (GK) 2, South Delhi","Mexican, American",₹1800 for two,4.2
Desi Dakaar,delhi-ncr,"Sector 49, Noida",North Indian,₹800 for two,3.4
Himalayan Coffee House,delhi-ncr,"Majnu ka Tila, North Delhi",Multicuisine,₹1000 for two,4.0
Barbeque 29,delhi-ncr,"NIT, Faridabad",Barbeque,₹1000 for two,4.3
Dravidam Cafe,delhi-ncr,"Sector 75, Noida",South Indian,₹700 for two,2.7
The Bridge Restaurant,delhi-ncr,DS Clarks Inn Gurgaon,Multicuisine,₹2000 for two,4.8
