Restaurant Name,City,Area,Cuisine Type,Cost for Two,Ratings
The Embassy,delhi-ncr,"Connaught Place (CP), Central Delhi",Multicuisine,₹2000 for two,4.2
Gola Sizzlers,delhi-ncr,"Connaught Place (CP), Central Delhi","Multicuisine, Sizzlers",₹1500 for two,4.3
Ghoomar Traditional Thali Restaurant,delhi-ncr,"Connaught Place (CP), Central Delhi","North Indian, Rajasthani",₹1000 for two,3.9
Local,delhi-ncr,"Connaught Place (CP), Central Delhi",Multicuisine,₹1200 for two,4.1
The G T Road,delhi-ncr,"Connaught Place (CP), Central Delhi",Multicuisine,₹2200 for two,4.4
Aqua,delhi-ncr,"The Park, New Delhi",Multicuisine,₹2800 for two,3.9
Zodiac- All Day Dining,delhi-ncr,"Fortune Inn Grazia, Noida",Indian,₹1800 for two,4.0
Nero,delhi-ncr,"Le Meridien, New Delhi",Cocktail Menu,₹3000 for two,3.5
Indus Flavour (Proudly Vegetarian),delhi-ncr,"Connaught Place (CP), Central Delhi",Multicuisine,₹1000 for two,4.4
Royal Bistro Brewery,delhi-ncr,"The Royal Plaza, New Delhi",Multicuisine,₹2500 for two,4.1
Cafe Hawkers,delhi-ncr,"Connaught Place (CP), Central Delhi",Multicuisine,₹1200 for two,3.8
The Darzi Bar & Kitchen,delhi-ncr,"Connaught Place (CP), Central Delhi",Multicuisine,₹1500 for two,3.7
Kikli,delhi-ncr,"Connaught Place (CP), Central Delhi",North Indian,₹2100 for two,3.9
Veda,delhi-ncr,"Connaught Place (CP), Central Delhi",North Indian,₹2000 for two,4.2
Connaught Clubhouse,delhi-ncr,"Janpath, Connaught Place (CP), Central Delhi","Cocktail Menu, Multicuisine",₹1800 for two,4.1
DEL,delhi-ncr,"Roseate House, New Delhi",Multicuisine,₹3000 for two,4.3
The Mandi Chowk,delhi-ncr,"Connaught Place (CP), Central Delhi",North Indian,₹1000 for two,4.9
The Flying Trunk,delhi-ncr,"Novotel City Centre, Delhi NCR",Asian,₹3500 for two,4.0
Level 2,delhi-ncr,"Radisson Blu, Paschim Vihar",Indian,₹3000 for two,4.0
The Host,delhi-ncr,"Connaught Place (CP), Central Delhi",Indian,₹1600 for two,4.1
The Food Store,delhi-ncr,"DoubleTree by Hilton, Gurgaon",Multicuisine,₹3000 for two,4.2
Massala Singh,delhi-ncr,"Connaught Place (CP), Central Delhi","Chinese, North Indian",₹1800 for two,5.0
